area,perimeter,compactness,length,width,asymmetry,groove_length
15.260,14.840,0.871,5.763,3.312,2.221,5.220
14.880,14.570,0.881,5.554,3.333,1.018,4.956
14.290,14.090,0.905,5.291,3.337,2.699,4.825
13.840,13.940,0.895,5.324,3.379,2.259,4.805
16.140,14.990,0.903,5.658,3.562,1.355,5.175
14.380,14.210,0.895,5.386,3.312,2.462,4.956
14.690,14.490,0.880,5.563,3.259,3.586,5.219
14.110,14.100,0.891,5.420,3.302,2.700,5.000
16.630,15.460,0.875,6.053,3.465,2.040,5.877
16.440,15.250,0.888,5.884,3.505,1.969,5.533
15.260,14.850,0.870,5.714,3.242,4.543,5.314
14.030,14.160,0.880,5.438,3.201,1.717,5.001
13.890,14.020,0.888,5.439,3.199,3.986,4.738
13.780,14.060,0.876,5.479,3.156,3.136,4.872
13.740,14.050,0.874,5.482,3.114,2.932,4.825
14.590,14.280,0.899,5.351,3.333,4.185,4.781
13.990,13.830,0.918,5.119,3.383,5.234,4.781
15.690,14.750,0.906,5.527,3.514,1.599,5.046
14.700,14.210,0.915,5.205,3.466,1.767,4.649
12.720,13.570,0.869,5.226,3.049,4.102,4.914
14.160,14.400,0.858,5.658,3.129,3.072,5.176
14.110,14.260,0.872,5.520,3.168,2.688,5.219
15.880,14.900,0.899,5.618,3.507,0.765,5.091
12.080,13.230,0.866,5.099,2.936,1.415,4.961
15.010,14.760,0.866,5.789,3.245,1.791,5.001
16.190,15.160,0.885,5.833,3.421,0.903,5.307
13.020,13.760,0.864,5.395,3.026,3.373,4.825
12.740,13.670,0.856,5.395,2.956,2.504,4.869
14.110,14.180,0.882,5.541,3.221,2.754,5.038
13.450,14.020,0.860,5.516,3.065,3.531,5.097
13.160,13.820,0.866,5.454,2.975,0.855,5.056
15.490,14.940,0.872,5.757,3.371,3.412,5.228
14.090,14.410,0.853,5.717,3.186,3.920,5.299
13.940,14.170,0.873,5.585,3.150,2.124,5.012
15.050,14.680,0.878,5.712,3.328,2.129,5.360
16.120,15.000,0.900,5.709,3.485,2.270,5.443
16.200,15.270,0.873,5.826,3.464,2.823,5.527
17.080,15.380,0.908,5.832,3.683,2.956,5.484
14.800,14.520,0.882,5.656,3.288,3.112,5.309
14.280,14.170,0.894,5.397,3.298,6.685,5.001
13.540,13.850,0.887,5.348,3.156,2.587,5.178
13.500,13.850,0.885,5.351,3.158,2.249,5.176
13.160,13.550,0.901,5.138,3.201,2.461,4.783
15.500,14.860,0.882,5.877,3.396,4.711,5.528
15.110,14.540,0.899,5.579,3.462,3.128,5.180
13.800,14.040,0.879,5.376,3.155,1.560,4.961
15.360,14.760,0.886,5.701,3.393,1.367,5.132
14.990,14.560,0.888,5.570,3.377,2.958,5.175
14.790,14.520,0.882,5.545,3.291,2.704,5.111
14.860,14.670,0.868,5.678,3.258,2.129,5.351
14.430,14.400,0.875,5.585,3.272,3.975,5.144
15.780,14.910,0.892,5.674,3.434,5.593,5.136
14.490,14.610,0.854,5.715,3.113,4.116,5.396
14.330,14.280,0.883,5.504,3.199,3.328,5.224
14.520,14.600,0.856,5.741,3.113,1.481,5.487
15.030,14.770,0.866,5.702,3.212,1.933,5.439
14.460,14.350,0.882,5.388,3.377,2.802,5.044
14.920,14.430,0.901,5.384,3.412,1.142,5.088
15.380,14.770,0.886,5.662,3.419,1.999,5.222
12.110,13.470,0.839,5.159,3.032,1.502,4.519
11.420,12.860,0.868,5.008,2.850,2.700,4.607
11.230,12.630,0.884,4.902,2.879,2.269,4.703
12.360,13.190,0.892,5.076,3.042,3.220,4.605
13.220,13.840,0.868,5.395,3.070,4.157,5.088
12.780,13.570,0.872,5.262,3.026,1.176,4.782
12.880,13.500,0.888,5.139,3.119,2.352,4.607
14.340,14.370,0.873,5.630,3.190,1.313,5.150
14.010,14.290,0.863,5.609,3.158,2.217,5.132
14.370,14.390,0.873,5.569,3.153,1.464,5.300
12.730,13.750,0.846,5.412,2.882,3.533,5.067
17.630,15.980,0.867,6.191,3.561,4.076,6.060
16.840,15.670,0.862,5.998,3.484,4.675,5.877
17.260,15.730,0.876,5.978,3.594,4.539,5.791
19.110,16.260,0.908,6.154,3.930,2.936,6.079
16.820,15.510,0.879,6.017,3.486,4.004,5.841
16.770,15.620,0.864,5.927,3.438,4.920,5.795
17.320,15.910,0.860,6.064,3.403,3.824,5.922
20.710,17.230,0.876,6.579,3.814,4.451,6.451
18.940,16.490,0.875,6.445,3.639,5.064,6.362
17.120,15.550,0.889,5.850,3.566,2.858,5.746
16.530,15.340,0.882,5.875,3.467,5.532,5.880
18.720,16.190,0.898,6.006,3.857,5.324,5.879
20.200,16.890,0.889,6.285,3.864,5.173,6.187
19.570,16.740,0.878,6.384,3.772,1.472,6.273
19.510,16.710,0.878,6.366,3.801,2.962,6.185
18.270,16.090,0.887,6.173,3.651,2.443,6.197
18.880,16.260,0.897,6.084,3.764,1.649,6.109
18.980,16.660,0.859,6.549,3.670,3.691,6.498
21.180,17.210,0.899,6.573,4.033,5.780,6.231
20.880,17.050,0.903,6.450,4.032,5.016,6.321
20.100,16.990,0.875,6.581,3.785,1.955,6.449
18.760,16.200,0.898,6.172,3.796,3.120,6.053
18.810,16.290,0.891,6.272,3.693,3.237,6.053
18.590,16.050,0.907,6.037,3.860,6.001,5.877
18.360,16.520,0.845,6.666,3.485,4.933,6.448
16.870,15.650,0.865,6.139,3.463,3.696,5.967
19.310,16.590,0.881,6.341,3.810,3.477,6.238
18.980,16.570,0.869,6.449,3.552,2.144,6.453
18.170,16.260,0.864,6.271,3.512,2.853,6.273
18.720,16.340,0.881,6.219,3.684,2.188,6.097
16.410,15.250,0.887,5.718,3.525,4.217,5.618
17.990,15.860,0.899,5.890,3.694,2.068,5.837
19.460,16.500,0.898,6.113,3.892,4.308,6.009
19.180,16.630,0.872,6.369,3.681,3.357,6.229
18.950,16.420,0.883,6.248,3.755,3.368,6.148
18.830,16.290,0.892,6.037,3.786,2.553,5.879
18.850,16.170,0.906,6.152,3.806,2.843,6.200
17.630,15.860,0.880,6.033,3.573,3.747,5.929
19.940,16.920,0.875,6.675,3.763,3.252,6.550
18.550,16.220,0.886,6.153,3.674,1.738,5.894
18.450,16.120,0.892,6.107,3.769,2.235,5.794
19.380,16.720,0.872,6.303,3.791,3.678,5.965
19.130,16.310,0.903,6.183,3.902,2.109,5.924
19.140,16.610,0.872,6.259,3.737,6.682,6.053
20.970,17.250,0.886,6.563,3.991,4.677,6.316
19.060,16.450,0.885,6.416,3.719,2.248,6.163
18.960,16.200,0.908,6.051,3.897,4.334,5.750
19.150,16.450,0.889,6.245,3.815,3.084,6.185
18.890,16.230,0.901,6.227,3.769,3.639,5.966
20.030,16.900,0.881,6.493,3.857,3.063,6.320
20.240,16.910,0.890,6.315,3.962,5.901,6.188
18.140,16.120,0.877,6.059,3.563,3.619,6.011
16.170,15.380,0.859,5.762,3.387,4.286,5.703
18.430,15.970,0.908,5.980,3.771,2.984,5.905
15.990,14.890,0.906,5.363,3.582,3.336,5.144
18.750,16.180,0.900,6.111,3.869,4.188,5.992
18.650,16.410,0.870,6.285,3.594,4.391,6.102
17.980,15.850,0.899,5.979,3.687,2.257,5.919
20.160,17.030,0.874,6.513,3.773,1.910,6.185
17.550,15.660,0.899,5.791,3.690,5.366,5.661
18.300,15.890,0.911,5.979,3.755,2.837,5.962
18.940,16.320,0.894,6.144,3.825,2.908,5.949
15.380,14.900,0.871,5.884,3.268,4.462,5.795
16.160,15.330,0.864,5.845,3.395,4.266,5.795
15.560,14.890,0.882,5.776,3.408,4.972,5.847
15.380,14.660,0.899,5.477,3.465,3.600,5.439
17.360,15.760,0.878,6.145,3.574,3.526,5.971
15.570,15.150,0.853,5.920,3.231,2.640,5.879
15.600,15.110,0.858,5.832,3.286,2.725,5.752
16.230,15.180,0.885,5.872,3.472,3.769,5.922
13.070,13.920,0.848,5.472,2.994,5.304,5.395
13.320,13.940,0.861,5.541,3.073,7.035,5.440
13.340,13.950,0.862,5.389,3.074,5.995,5.307
12.220,13.320,0.865,5.224,2.967,5.469,5.221
11.820,13.400,0.827,5.314,2.777,4.471,5.178
11.210,13.130,0.817,5.279,2.687,6.169,5.275
11.430,13.130,0.834,5.176,2.719,2.221,5.132
12.490,13.460,0.866,5.267,2.967,4.421,5.002
12.700,13.710,0.849,5.386,2.911,3.260,5.316
10.790,12.930,0.811,5.317,2.648,5.462,5.194
11.830,13.230,0.850,5.263,2.840,5.195,5.307
12.010,13.520,0.825,5.405,2.776,6.992,5.270
12.260,13.600,0.833,5.408,2.833,4.756,5.360
11.180,13.040,0.827,5.220,2.693,3.332,5.001
11.360,13.050,0.838,5.175,2.755,4.048,5.263
11.190,13.050,0.825,5.250,2.675,5.813,5.219
11.340,12.870,0.860,5.053,2.849,3.347,5.003
12.130,13.730,0.808,5.394,2.745,4.825,5.220
11.750,13.520,0.808,5.444,2.678,4.378,5.310
11.490,13.220,0.826,5.304,2.695,5.388,5.310
12.540,13.670,0.843,5.451,2.879,3.082,5.491
12.020,13.330,0.850,5.350,2.810,4.271,5.308
12.050,13.410,0.842,5.267,2.847,4.988,5.046
12.550,13.570,0.856,5.333,2.968,4.419,5.176
11.140,12.790,0.856,5.011,2.794,6.388,5.049
12.100,13.150,0.879,5.105,2.941,2.201,5.056
12.440,13.590,0.846,5.319,2.897,4.924,5.270
12.150,13.450,0.844,5.417,2.837,3.638,5.338
11.350,13.120,0.829,5.176,2.668,4.337,5.132
11.240,13.000,0.836,5.090,2.715,3.521,5.088
11.020,13.000,0.819,5.325,2.701,6.735,5.163
11.550,13.100,0.846,5.167,2.845,6.715,4.956
11.270,12.970,0.842,5.088,2.763,4.309,5.000
11.400,13.080,0.838,5.136,2.763,5.588,5.089
10.830,12.960,0.810,5.278,2.641,5.182,5.185
10.800,12.570,0.859,4.981,2.821,4.773,5.063
11.260,13.010,0.836,5.186,2.710,5.335,5.092
10.740,12.730,0.833,5.145,2.642,4.702,4.963
11.480,13.050,0.847,5.180,2.758,5.876,5.002
12.210,13.470,0.845,5.357,2.893,1.661,5.178
11.410,12.950,0.856,5.090,2.775,4.957,4.825
12.460,13.410,0.871,5.236,3.017,4.987,5.147
12.190,13.360,0.858,5.240,2.909,4.857,5.158
11.650,13.070,0.858,5.108,2.850,5.209,5.135
12.890,13.770,0.854,5.495,3.026,6.185,5.316
11.560,13.310,0.820,5.363,2.683,4.062,5.182
11.810,13.450,0.820,5.413,2.716,4.898,5.352
10.910,12.800,0.837,5.088,2.675,4.179,4.956
11.230,12.820,0.859,5.089,2.821,7.524,4.957
10.590,12.410,0.865,4.899,2.787,4.975,4.794
10.930,12.800,0.839,5.046,2.717,5.398,5.045
11.270,12.860,0.856,5.091,2.804,3.985,5.001
11.870,13.020,0.879,5.132,2.953,3.597,5.132
10.820,12.830,0.826,5.180,2.630,4.853,5.089
12.110,13.270,0.864,5.236,2.975,4.132,5.012
12.800,13.470,0.886,5.160,3.126,4.873,4.914
12.790,13.530,0.879,5.224,3.054,5.483,4.958
13.370,13.780,0.885,5.320,3.128,4.670,5.091
12.620,13.670,0.848,5.410,2.911,3.306,5.231
12.760,13.380,0.896,5.073,3.155,2.828,4.830
12.380,13.440,0.861,5.219,2.989,5.472,5.045
12.670,13.320,0.898,4.984,3.135,2.300,4.745
11.180,12.720,0.868,5.009,2.810,4.051,4.828
12.700,13.410,0.887,5.183,3.091,8.456,5.000
12.370,13.470,0.857,5.204,2.960,3.919,5.001
12.190,13.200,0.878,5.137,2.981,3.631,4.870
11.230,12.880,0.851,5.140,2.795,4.325,5.003
13.200,13.660,0.888,5.236,3.232,8.315,5.056
11.840,13.210,0.852,5.175,2.836,3.598,5.044
12.300,13.340,0.868,5.243,2.974,5.637,5.063
